track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track,year,month
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716.0,"196,631,588",92.0,84274754.0,1713126.0,"5,767,700","651,565,900",5332281936.0,"150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",,0,2024,4
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113.0,"174,597,137",92.0,116347040.0,3486739.0,"674,700","35,223,547",208339025.0,"156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",,1,2024,5
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331.0,"211,607,669",92.0,122599116.0,2228730.0,"3,025,400","275,154,237",3369120610.0,"373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",,0,2024,3
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802.0,"136,569,078",85.0,1096100899.0,10629796.0,"7,189,811","1,078,757,968",14603725994.0,"3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0,2023,1
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223.0,"151,469,874",88.0,77373957.0,3670188.0,"16,400",,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",,1,2024,5
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892.0,"175,421,034",83.0,131148091.0,1392593.0,"4,202,367","214,943,489",2938686633.0,"2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",,1,2023,11
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118.0,"201,585,714",86.0,308723145.0,4120760.0,,"29,584,940",534915313.0,"4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,"65,447,476","57,372",,"9,990,302",,0,2024,1
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094.0,"211,236,940",92.0,228382568.0,1439495.0,"3,500,000","338,546,668",3804584163.0,"2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",,1,2024,2
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1.0,15,,,,,,,,,,,,,,,,,,,1,2024,6
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400.0,"184,199,419",86.0,32735244.0,988682.0,"325,800","121,574,500",974656200.0,"174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",,1,2024,5
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219.0,"168,766,158",91.0,32229063.0,550191.0,,"184,500",2100000.0,"327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,"23,155,471","21,172","1,594,605","963,413",,1,2024,5
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2.0,"263,767",,,,,,,,,,,,,2.0,,,,,,1,2024,6
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800.0,"197,280,692",92.0,40022524.0,1307290.0,"195,300","45,889,000",360017000.0,"342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",,0,2024,5
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025.0,"108,168,634",88.0,98081493.0,1456177.0,,,,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,"26,252,264","18,364","12,038,034","1,963,314",,1,2024,3
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,277.0,"24,445",12.0,6736502312.0,16785489.0,3,"1,088",22234.0,,1.0,"1,057",,,,,,,,"3,288",,0,2022,10
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605.0,"79,944,921",79.0,934302031.0,4294166.0,"11,054,500","521,725,116",7499234052.0,"2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",,1,2023,3
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784.0,"177,932,568",89.0,104673836.0,2484083.0,"139,300","25,348,800",207317000.0,"268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,"9,961,769","13,437","377,734","1,210,029",,0,2024,4
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218.0,"198,845,580",87.0,141646818.0,1514837.0,"2,294,429","419,319,161",5456156211.0,"2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,"44,850,379","12,270",,"6,973,652",,1,2023,9
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499.0,"52,287,548",86.0,16038053.0,569377.0,"941,900","119,740,900",1225345800.0,"5,839,168",76.0,181,1,24.0,"5,054,005",33.0,"283,089",162,"975,891","257,661",,0,2024,5
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119.0,"169,783,402",87.0,800899315.0,9101589.0,"2,755,903","1,633,970,617",15405881843.0,"7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,"132,624,772","79,909",,"14,967,379",,0,2022,3
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890.0,"121,712,197",78.0,240970670.0,2749668.0,"3,091,732","652,428,798",7095564106.0,"1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,"70,291,476","49,111",,"7,559,816",,1,2023,8
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425.0,"262,343,414",95.0,107550212.0,1825761.0,"209,200","169,144,295",1379499000.0,"422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,"10,362,898","10,848","1,551,157","1,373,085",,1,2024,4
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417.0,10.0,655,,,,,,,,,,,,,,,,,,,1,2024,5
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979.0,34044.0,"152,928,632",86.0,35724356.0,437980.0,"1,470,500","485,200,392",6518604175.0,"1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",,1,2024,2
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,,1.0,2,,,,"9,453,333","273,236,305",4306269694.0,,,,,,,,,,,,,0,2024,1
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504.0,"661,084",35.0,4233958.0,69990.0,"37,621,885","1,636,811,753",22918660728.0,,1.0,,439,1.0,6,1.0,,,,"633,525",,0,2022,5
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732.0,"134,793,519",78.0,1256973582.0,14661425.0,"7,485,966","2,246,991,336",23712377029.0,"4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,"196,783,487","124,922","36,341,585",,,1,2021,7
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945.0,"7,530,769",71.0,16322756555.0,48757673.0,"7,743,800","281,762,094",6577639193.0,"2,166,611",33.0,284,142,19.0,"52,179",17.0,"86,458,847","2,234,137",,"2,064,420",,0,2015,12
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203.0,"197,494,995",87.0,156882014.0,3080503.0,,,,"578,568,464",194.0,"200,230",32,117.0,"22,062,193",126.0,"10,106,573","7,689","1,612,479","1,579,980",,0,2024,3
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128.0,"485,454",,,,,,,,,,,,,,"179,867,721","87,209",,"4,474,248",,1,2024,4
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,,,,,,,,,,,,,,,,,,,,,1,2024,5
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,3479.0,"25,936,342",82.0,359896095.0,4907193.0,"212,500","48,327,004",390081328.0,"38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,"130,743",592,"265,670","191,867",,0,2024,4
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450.0,"150,471,020",83.0,265180930.0,2566846.0,"2,114,363","369,150,956",3932956380.0,"3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,"40,418,532","27,555","6,049,784","6,447,136",,0,2023,7
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141.0,"103,879,363",79.0,118208096.0,1495758.0,"1,031,447","196,985,853",2231749390.0,"1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,"20,228,317","5,331","10,938,075","7,477,917",,0,2023,9
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557.0,"67,488,850",,62123098.0,923733.0,,,,"384,716,227",221.0,"151,990",64,42.0,"658,517",47.0,"31,032,977","23,005","1,516,649",,,0,2024,3
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7.0,"1,519",,,,,,,,,,,,,1.0,"121,250,721","83,632",,"3,692,067",,0,2024,4
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766.0,"180,237,463",96.0,62694868.0,837616.0,,"27,811,667",378313942.0,"243,895,569",149.0,,141,58.0,"26,516,005",146.0,"21,453,034","30,180","4,482,348","1,707,213",,1,2024,4
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239.0,"180,617,454",87.0,139180960.0,1504385.0,"396,560","49,060,857",597513595.0,"4,016,801,205",215.0,"605,841",162,133.0,"42,675,181",120.0,"253,538,985","72,429","5,409,388","10,517,831",,0,2023,6
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142.0,"80,392,612",80.0,94699547.0,1222012.0,"1,237,229","311,252,391",3281790327.0,"140,623,676",123.0,"265,291","4,003",40.0,"2,225,409",88.0,"64,456,799","20,518","33,130,829","3,945,184",,1,2023,6
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201.0,"64,901,153",71.0,3366447481.0,27240268.0,"10,342,366","393,814,740",5861939942.0,"2,428,166,573",549.0,"573,733",169,584.0,"5,749,770",121.0,"373,294,159","844,198","37,430,204","44,842,636",,0,2019,5
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871.0,"202,626,837",92.0,11033725.0,251373.0,"251,200","71,078,500",443104700.0,"148,058,631",247.0,"3,400",8,67.0,"11,523,335",125.0,"840,442","2,592","1,369,981","285,858",,0,2024,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,27827.0,"5,784,546",41.0,22280037.0,334523.0,"14,348,249","948,225,544",12196985599.0,,2.0,672,,4.0,"35,737",9.0,"270,610","3,170",,,,1,2023,4
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248.0,"239,957,538",83.0,466080689.0,4324989.0,"728,093","54,258,768",1051836430.0,"1,425,853,925",285.0,"935,190","2,487",207.0,"6,479,623",168.0,"139,926,990","31,235","8,007,236","10,973,120",,1,2022,8
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800.0,"85,255,689",82.0,274070101.0,3701289.0,"2,557,115","285,329,503",2578518632.0,"1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,"28,924,685","14,634","9,505,098","8,681,350",,0,2023,4
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927.0,"92,834,002",86.0,48093111.0,959175.0,"3,648,759","857,220,853",5469808282.0,"298,259,422",91.0,"36,285","2,676",63.0,"10,874,749",110.0,"6,151,267","9,160","7,980,051","2,682,219",,0,2023,9
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572.0,"183,043,096",83.0,22374807.0,1026097.0,,"188,200",1200000.0,"110,446,147",199.0,"2,359",2,73.0,"13,686,074",98.0,"360,163",758,"9,883","47,115",,1,2024,6
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300.0,"87,874,006",80.0,150571504.0,1575378.0,"93,500","35,970,610",386610043.0,"3,129,834,452",174.0,"564,640",405,146.0,"28,246,184",127.0,"25,843,941","3,694","1,991,527","2,389,957",,0,2023,11
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417.0,9.0,85,,,,,,,,,,,,,,,,,,,1,2024,5
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923.0,"46,133,083",69.0,61986821.0,921044.0,"13,872,768","390,207,653",5684815935.0,"19,218,089",78.0,"92,638",822,41.0,"3,467,570",36.0,"7,444,354","7,188",,"2,227,494",,1,2023,2
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114.0,"49,464,650",74.0,9537135721.0,61799279.0,"799,338","78,304,409",1143297071.0,"569,548,901",179.0,"121,234",116,145.0,"1,977,014",118.0,"266,603,596","2,359,900",,"19,622,551",,0,2017,1
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,17168.0,"62,516,401",86.0,53604746.0,1846535.0,,,,"174,375,427",65.0,"6,408",77,20.0,"428,378",31.0,"3,156,727","4,843","4,304,870","654,482",,1,2024,4
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,249.0,"8,585",25.0,2457026781.0,,190,"36,666",393580.0,,,12,,,,,,,,"1,881",,0,2023,2
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,163876.0,"130,963,116",77.0,902742581.0,8099187.0,599,"48,035",2857920.0,"750,030,685",316.0,"1,107,265",,112.0,"11,937,930",146.0,"52,073,859","41,487","5,820,026","3,521,951",,0,2022,8
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734.0,316378.0,"148,037,882",80.0,8013997219.0,45770887.0,"2,270,315","194,420,058",2320856331.0,"2,294,804,623",465.0,"402,829",282,512.0,"2,710,931",115.0,"733,565,655","651,557","78,149,375","1,146,246",,0,2017,1
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346.0,42.0,"16,861",13.0,2432265978.0,8162101.0,,,,,,53,,,,,,,,200,,0,2023,1
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720.0,590392.0,"165,544,011",83.0,833807130.0,10093211.0,"2,882,064","337,322,563",3501177394.0,"2,258,085,924",859.0,"1,695,240","1,116",564.0,"11,701,129",184.0,"489,299,762","319,634","28,659,471","28,994,660",,0,2019,11
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,228295.0,"64,806,723",80.0,193982443.0,2023998.0,"423,714","148,085,419",1268862678.0,"444,033,037",152.0,"952,186",34,58.0,"2,134,791",66.0,"77,382,416","28,694",,"6,205,060",,1,2022,12
Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58,190.0,,2.0,"41,206",,52480069.0,82092.0,,,,,,,,1.0,"1,657",,,,,,,0,2024,6
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190.0,1655575417.0,1.0,3,,,,,,,,,,,,,,,,,,,1,2024,4
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789.0,210583.0,"95,974,138",74.0,254051906.0,3364206.0,"2,379,787","683,088,623",7945975878.0,"1,524,133,775",203.0,"718,849",117,63.0,"1,616,564",167.0,"111,398,743","71,335","10,424,892","10,192,485",,0,2022,9
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,,2.0,135,9.0,,,,,,,,,,,,,"420,235,997","885,123",,,,0,2024,6
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,2.0,801,,222076.0,5430.0,"5,013,500","605,320,683",8811416708.0,,,,,,,,,,,,,0,2023,12
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,2483.0,"21,046,278",81.0,111310770.0,1724693.0,"56,600","61,038,623",393973528.0,"32,059,104",40.0,709,13,7.0,"544,322",14.0,"45,515",100,"255,951","63,283",,0,2024,5
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630.0,173358.0,"67,603,671",79.0,1516863120.0,8870768.0,"4,506,600","549,886,060",6470937272.0,"934,894,575",124.0,"77,120",327,44.0,"14,871,714",63.0,"111,324,744","39,123",,"3,393,920",,1,2022,5
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812.0,4.0,98,,,,,,,,1.0,,,,,,"390,345,308","399,793",,,,1,2024,3
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,182994.0,"19,203,258",68.0,1141904909.0,8766235.0,"6,129,450","856,216,952",18216656774.0,"2,952,879,912",138.0,"191,634",759,53.0,"3,481,756",45.0,"98,290,873","46,039","14,668,216","22,563,407",,0,2022,2
CARNIVAL,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179.6,466887055.0,53842.0,"103,935,623",84.0,27688666.0,449112.0,,,,"33,817,299",42.0,"53,333",,11.0,"199,915",29.0,"1,359,484","11,303","11,703,609","1,982,000",,1,2024,2
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537.0,190202.0,"99,546,318",82.0,220538045.0,3153793.0,"266,430","152,410,048",1284413960.0,"426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,"57,350,590","61,270","16,992,932","4,873,832",,0,2022,12
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245.0,114560.0,"97,542,546",82.0,144741616.0,2761964.0,"1,443,103","498,822,693",3998086216.0,"1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,"39,374,594","19,921","5,418,596","4,476,509",,0,2023,7
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567.0,252.0,"21,930",6.0,2038459981.0,6076902.0,,,,,2.0,29,,,,,"1,456",,,903,,0,2023,3
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078.0,486278.0,"112,416,489",82.0,1272898075.0,14947520.0,"1,416,295","513,334,446",5518429969.0,"4,899,313,022",459.0,"1,414,326","1,434",170.0,"11,862,378",95.0,"122,247,640","160,431",,"17,848,778",,0,2020,6
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421.0,97.0,"488,602",,,,,,,,,,,,,2.0,,,,,,0,2024,4
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,100130.0,"74,836,321",74.0,776436101.0,12951756.0,"4,210,895","797,017,650",11936401096.0,"457,987,382",110.0,"165,670",180,106.0,"4,971,379",92.0,"48,806,666","10,225",,"2,237,762",,0,2023,1
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909.0,38.0,"15,023",4.0,1999374091.0,5708577.0,,,,,,59,,,,,,,,"1,412",,0,2023,3
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713.0,127393.0,"18,652,312",67.0,3203314695.0,41487213.0,"5,757,883","187,301,054",1981431049.0,"939,714,925",63.0,"49,780","2,195",64.0,"397,418",100.0,"181,784,010","2,022,074","106,880,548","8,856,633",,0,2019,3
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,99381.0,"57,394,938",75.0,878892413.0,4425283.0,"796,603","127,651,887",1669065906.0,"1,522,934,425",101.0,"73,481",225,42.0,"5,734,172",81.0,"55,857,743","15,528",,"2,283,747",,0,2023,4
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,,10230.0,"1,142,937",,12489728.0,339414.0,"42,900,000","919,945,708",12221514692.0,,,,,,,,"5,678,792",,,,,0,2020,4
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,199828.0,"55,464,762",78.0,219666692.0,2332307.0,"731,797","130,560,533",1254944697.0,"918,145,630",155.0,"42,082",36,41.0,"1,790,031",76.0,"411,656","3,414","12,405,917","3,093,667",,1,2023,6
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,11028.0,"144,854,768",90.0,19402457.0,997411.0,284,,,"260,377,114",185.0,"1,008",,53.0,"20,737,850",59.0,"521,322",698,"1,680,434","388,625",,0,2024,5
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758.0,78554.0,"69,319,589",78.0,1102289596.0,8953293.0,"457,111","15,048,444",248168852.0,"1,174,053,183",138.0,"149,584",38,84.0,"8,850,320",131.0,"68,022,934","16,511","164,895","3,488,226",,1,2023,2
Perfect,ýý (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682.0,280165.0,"116,921,604",81.0,6473698897.0,39632673.0,"6,642,975","601,244,764",7647479866.0,"1,708,317,539",208.0,"263,386",129,343.0,"1,242,581",102.0,"617,483,078","595,052",,,,0,2017,3
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82,167.3,1500499584.0,359502.0,"125,112,486",74.0,1431591689.0,11553088.0,"2,866,181","290,811,371",4067248819.0,"782,475,986",258.0,"240,677",438,137.0,"4,015,523",102.0,"120,046,948","89,582","6,227","17,210,946",,1,2021,6
Peekaboo,Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83,167.2,8082.0,63.0,"32,758",,2055940513.0,4150967.0,,,,,1.0,13,,,,,,,,442,,0,2023,1
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166.5,1215336974.0,129463.0,"39,814,172",74.0,701880622.0,3831236.0,"5,416","550,073",15373104.0,"546,259,059",83.0,"40,153",227,24.0,"4,946,338",61.0,"84,378,219","53,890","17,115,523","3,435,177",,0,2023,3
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166.2,860026452.0,74769.0,"139,913,794",80.0,173044031.0,1640319.0,"175,536","90,924,917",1227837850.0,"1,205,266,954",7.0,"759,185","1,100",82.0,"4,067,956",,"64,567,514","22,064","1,843,883","3,199,636",,0,2023,5
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164.9,1032225805.0,94887.0,"74,469,479",79.0,920878032.0,3118229.0,"1,031,612","116,003,972",2416141351.0,"1,690,231,413",83.0,"57,941",177,42.0,"3,360,878",48.0,"55,410,702","27,415","230,579","2,635,577",,1,2023,3
redrum,american dream,21 Savage,2024-01-12,USSM12309164,87,164.8,428233003.0,57311.0,"144,298,748",,105148629.0,1762297.0,"87,200","6,732,800",43993800.0,"977,638,660",74.0,"102,457",56,48.0,"4,037,475",60.0,"16,802,867","11,821",,"2,490,071",,1,2024,1
Easy On Me,Easy On Me,Adele,2021-10-14,USSM12105970,88,163.2,1720918065.0,209635.0,"93,875,458",73.0,1194846205.0,13561925.0,"1,912,194","733,101,955",7860224413.0,"6,353,555,150",325.0,"774,277","1,316",257.0,"5,323,750",100.0,"203,324,731","126,594",,"7,569,155",,0,2021,10
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214878,89,163.1,1514239759.0,190692.0,"77,283,361",77.0,1366181141.0,9358441.0,"1,769,068","475,656,543",5249863696.0,"488,048,337",150.0,"145,640",920,44.0,"5,591,928",108.0,"69,095,169","81,914",,"5,133,847",,1,2022,5
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90,162.0,333202114.0,108322.0,"41,018,697",68.0,203487345.0,2084532.0,"928,132","63,253,779",748253884.0,"735,908,540",148.0,"346,411",146,30.0,"1,277,729",60.0,"90,114,807","46,789","16,620,102","4,207,535",,1,2023,5
Anti-Hero,Midnights,Taylor Swift,2022-10-21,USUG12205736,91,161.8,1563224246.0,117005.0,"97,456,780",80.0,203259285.0,3482508.0,"1,302,967","376,660,493",3864505972.0,"724,976,542",261.0,"1,034,319","1,088",74.0,"4,457,357",150.0,"92,338,994","45,974",,"4,703,179",,0,2022,10
