track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track,year,month
Slut Me Out,Slut Me Out - Single,NLE Choppa,2022-04-15,USWB12200942,"2,867",26.1,346862697.0,72540.0,"23,493,477",67.0,28725574.0,481537.0,"60,398","29,004,515",186623555.0,"29,533,696",8.0,156,35,8.0,"35,925",4.0,"7,754,964","27,818",,"814,265",,1,2022,4
Real Love,Real Love,Martin Garrix,2023-09-22,NLM5S2302045,"2,859",26.1,23089149.0,7090.0,"14,537,779",,1508079.0,15100.0,"700,500","9,061,381",160449801.0,,35.0,"23,382",156,47.0,"838,246",,"376,057",,,"115,557",,0,2023,9
A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030959,"2,856",26.1,778269101.0,94041.0,"20,880,365",70.0,357643934.0,1517496.0,"80,500","42,847,884",287886349.0,"1,278,210",35.0,"3,929",,12.0,"77,806",8.0,"26,315,157","4,614",,"671,048",,0,2020,2
Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,2012-01-01,USUM71514637,"2,863",26.1,1623436416.0,181003.0,"87,263,572",76.0,205204907.0,2069073.0,"563,713","55,758,553",345185931.0,312,228.0,"170,627",323,110.0,"2,298,858",58.0,"382,959,323","437,161",,"15,885,088",,1,2012,1
Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,USRC11502185,"2,857",26.1,989672356.0,135409.0,"50,477,248",76.0,713521813.0,4429142.0,"245,277","12,247,275",71925380.0,"118,725,866",122.0,"28,008",15,70.0,"370,637",15.0,,,"22,910,659","2,883,431",,1,2015,10
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,2021-01-08,FR9W12028036,"2,868",26.1,385903701.0,66419.0,"24,104,595",61.0,67488485.0,440351.0,"728,654","53,819,526",771965593.0,"27,764,465",153.0,"193,630",,54.0,"1,047,713",7.0,"9,489,011",724,,"2,080,227",,0,2021,1
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,US6XF1700267,"2,862",26.1,572628080.0,58161.0,"18,234,682",79.0,358325972.0,1376330.0,"48,738","6,199,392",45145253.0,"514,930,459",28.0,"188,483",19,3.0,"6,863",11.0,"343,169,820","50,137",,"1,096,110",,0,2018,6
Y Si Se Quiere Ir,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",2021-11-19,QZDQH2154311,"2,866",26.1,110244949.0,10233.0,"6,570,771",39.0,442934526.0,1510804.0,"2,407","864,180",12667235.0,"37,522,385",1.0,"4,747",200,,,19.0,"45,568,995","2,967","765,234",,,0,2021,11
Camelot,Camelot,NLE Choppa,2019-09-13,USWB11901876,"2,854",26.1,537163250.0,117513.0,"15,086,606",69.0,299438117.0,2767933.0,"115,957","6,757,364",45616164.0,"55,208,010",16.0,,,9.0,"9,038",3.0,"33,326,249","75,730",,"803,474",,1,2019,9
Stuck In The Middle,Stuck in the Middle,Tai Verdes,2020-05-29,QZHN52001856,"2,861",26.1,143421888.0,46095.0,"5,506,539",54.0,23355896.0,429911.0,"4,300,313","895,618,190",6940732133.0,"1,036,956",26.0,"3,496",150,5.0,"176,782",3.0,"4,696,434","7,554",,"570,828",,1,2020,5
Step Back!,Step Back!,1nonly,2022-09-02,USWB12203894,"2,860",26.1,166436749.0,48250.0,"16,940,138",68.0,49886904.0,632581.0,"58,547","24,932,289",219657145.0,"72,266",9.0,3,,3.0,"91,280",,"3,588,218","2,028","7,521,020","850,249",,1,2022,9
